Time,Option_Description_orig,Expiration_Date,Strike_Price,Option_Type,TradeQuantity,Trade_Price,Option_Bid,Option_Ask,Delta,IV,Underlying_Price,Condition,Exchange,Aggressor
2025-05-23 08:30:01,30 MAY 25 160 C,2025-05-30,160.0,C,1,4.2,0.0,9.95,0.43,0.6412,156.56,,BEST,Between Bid/Ask
2025-05-23 08:30:02,21 NOV 25 160 C,2025-11-21,160.0,C,1,25.45,23.65,27.15,0.58,0.5895,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:02,19 SEP 25 240 C,2025-09-19,240.0,C,1,2.61,2.42,3.15,0.12,0.5508,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:02,15 AUG 25 155 C,2025-08-15,155.0,C,1,19.2,18.05,20.85,0.58,0.6007,156.56,,BEST,Between Bid/Ask
2025-05-23 08:30:02,19 DEC 25 210 P,2025-12-19,210.0,P,1,61.15,58.3,61.15,-0.69,0.5452,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:03,20 JUN 25 140 P,2025-06-20,140.0,P,1,3.6,1.94,4.9,-0.22,0.5993999999999999,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:04,20 JUN 25 155 C,2025-06-20,155.0,C,5,8.85,8.8,8.85,0.56,0.4537,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:04,20 JUN 25 155 C,2025-06-20,155.0,C,1,8.8,8.8,8.85,0.56,0.4507,156.56,,BEST,Seller (At Bid)
2025-05-23 08:30:04,20 JUN 25 155 C,2025-06-20,155.0,C,1,8.8,8.8,12.2,0.56,0.4507,156.56,,BEST,Seller (At Bid)
2025-05-23 08:30:04,20 JUN 25 155 C,2025-06-20,155.0,C,1,8.8,8.8,12.2,0.56,0.4507,156.56,,BEST,Seller (At Bid)
2025-05-23 08:30:04,13 JUN 25 177.5 C,2025-06-13,177.5,C,1,2.26,1.51,2.26,0.2,0.5657,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:05,19 SEP 25 180 C,2025-09-19,180.0,C,6,11.6,11.15,11.6,0.4,0.5428000000000001,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:05,16 JAN 26 155 C,2026-01-16,155.0,C,3,30.9,29.25,31.45,0.62,0.5784,156.56,,AMEX,Between Bid/Ask
2025-05-23 08:30:05,18 JUL 25 175 C,2025-07-18,175.0,C,2,7.25,4.7,8.95,0.35,0.5558,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:05,30 MAY 25 150 P,2025-05-30,150.0,P,3,2.64,0.59,3.55,-0.29,0.6168,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:05,6 JUN 25 165 C,2025-06-06,165.0,C,1,3.7,2.53,5.9,0.34,0.5576,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:05,13 JUN 25 175 C,2025-06-13,175.0,C,1,2.68,2.0,2.68,0.23,0.5635,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:05,13 JUN 25 139 P,2025-06-13,139.0,P,1,2.62,2.0,2.62,-0.19,0.6212,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:05,27 JUN 25 130 P,2025-06-27,130.0,P,1,2.56,1.81,2.56,-0.15,0.6383,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:05,6 JUN 25 172.5 C,2025-06-06,172.5,C,1,2.08,0.58,2.08,0.22,0.5745,156.56,,BOX,Buyer (At Ask)
2025-05-23 08:30:05,16 JAN 26 155 C,2026-01-16,155.0,C,1,30.7,30.45,31.45,0.62,0.5742,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:05,18 JUL 25 130 C,2025-07-18,130.0,C,1,31.05,29.35,32.35,0.82,0.5939,156.56,,PHLX,Between Bid/Ask
2025-05-23 08:30:05,27 JUN 25 125 P,2025-06-27,125.0,P,1,1.78,0.12,3.9,-0.11,0.6462,156.56,,BEST,Between Bid/Ask
2025-05-23 08:30:05,27 JUN 25 131 P,2025-06-27,131.0,P,1,2.72,1.97,2.72,-0.15,0.6347,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:06,20 JUN 25 80 P,2025-06-20,80.0,P,9,0.04,0.0,0.04,0.0,0.9270999999999999,156.56,,NYSE,Buyer (At Ask)
2025-05-23 08:30:06,13 JUN 25 195 C,2025-06-13,195.0,C,1,0.59,0.17,1.32,0.07,0.5717,156.56,,BEST,Between Bid/Ask
2025-05-23 08:30:07,20 JUN 25 220 C,2025-06-20,220.0,C,7,0.18,0.04,0.18,0.02,0.5722,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:08,20 JUN 25 220 C,2025-06-20,220.0,C,2,0.18,0.08,0.18,0.02,0.5722,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:13,27 JUN 25 195 C,2025-06-27,195.0,C,1,1.25,0.0,1.25,0.11,0.5279,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:14,30 MAY 25 165 C,2025-05-30,165.0,C,1,2.0,1.55,2.0,0.27,0.5661999999999999,156.56,,BEST,Buyer (At Ask)
2025-05-23 08:30:15,30 MAY 25 165 C,2025-05-30,165.0,C,10,1.75,1.55,3.85,0.26,0.5316,156.56,,BEST,Between Bid/Ask
2025-05-23 08:30:16,20 JUN 25 130 P,2025-06-20,130.0,P,2,1.85,1.6,1.85,-0.12,0.6364,156.56,,AMEX,Buyer (At Ask)
2025-05-23 08:30:17,16 JAN 26 155 P,2026-01-16,155.0,P,1,25.49,23.2,27.3,-0.39,0.5643,156.56,,CBOE,Between Bid/Ask
2025-05-23 08:30:17,18 JUL 25 105 P,2025-07-18,105.0,P,25,1.0,0.0,1.0,-0.05,0.6868000000000001,156.56,,NYSE,Buyer (At Ask)
2025-05-23 08:30:18,27 JUN 25 172.5 C,2025-06-27,172.5,C,5,5.0,3.5,5.0,0.32,0.5424,156.56,,BOX,Buyer (At Ask)
2025-05-23 08:30:21,30 MAY 25 157.5 C,2025-05-30,157.5,C,3,4.8,4.65,5.45,0.49,0.589,156.56,,CBOE,Between Bid/Ask
2025-05-23 08:30:21,30 MAY 25 175 C,2025-05-30,175.0,C,1,0.55,0.2,2.09,0.09,0.5794,156.56,,CBOE,Between Bid/Ask
2025-05-23 08:30:21,20 JUN 25 90 P,2025-06-20,90.0,P,5,0.1,0.05,0.1,-0.01,0.8645,156.56,,CBOE,Buyer (At Ask)
2025-05-23 08:30:21,20 JUN 25 90 P,2025-06-20,90.0,P,4,0.1,0.05,0.1,-0.01,0.8645,156.56,,CBOE,Buyer (At Ask)
2025-05-23 08:30:21,18 JUL 25 160 C,2025-07-18,160.0,C,2,12.75,10.3,13.25,0.51,0.5684,156.56,,ISE,Between Bid/Ask
2025-05-23 08:30:21,20 MAR 26 175 C,2026-03-20,175.0,C,1,26.12,24.4,27.85,0.53,0.5566,156.56,Spread,ISE,Between Bid/Ask
2025-05-23 08:30:21,21 NOV 25 160 C,2025-11-21,160.0,C,1,25.62,24.15,27.1,0.58,0.5934,156.56,Spread,ISE,Between Bid/Ask
2025-05-23 08:30:21,6 JUN 25 170 C,2025-06-06,170.0,C,2,2.41,2.2,3.05,0.25,0.5568,156.56,Spread,ISE,Between Bid/Ask
2025-05-23 08:30:21,20 JUN 25 180 C,2025-06-20,180.0,C,1,2.73,2.1,3.2,0.21,0.5605,156.56,Spread,ISE,Between Bid/Ask
2025-05-23 08:30:21,20 JUN 25 170 C,2025-06-20,170.0,C,1,4.93,4.45,5.65,0.33,0.5605,156.56,Spread,ISE,Between Bid/Ask
2025-05-23 08:30:21,18 JUN 26 155 C,2026-06-18,155.0,C,1,38.1,36.2,40.85,0.64,0.5561,156.56,Spread,ISE,Between Bid/Ask
2025-05-23 08:30:30,30 MAY 25 167.5 C,2025-05-30,167.5,C,21,1.63,0.13,3.2,0.22,0.5927,156.56,Spread,ISE,Between Bid/Ask
